,start_pin,destination_pin,travel_distance,quantity_tons,period,nifty_infra_price,amount
6668,365560,382421,322,24.41,September 2023,6242.85,148748.44
6669,365560,382421,322,24.46,September 2023,6242.85,147142.31
6670,365560,382421,322,29.58,August 2023,5947.0,545381.26
6671,365560,392012,434,41.41,August 2023,5947.0,247165.94
6672,370165,382350,323,,August 2023,5947.0,664.0
6673,370511,360002,404,40.0,September 2023,6242.85,1484375.0
6674,370511,362220,545,37.0,September 2023,6242.85,2746090.0
6675,370511,364515,589,42.0,August 2023,5947.0,3117180.0
6676,370511,380001,485,41.77,August 2023,5947.0,254535.0
6677,370511,380058,471,29.49,September 2023,6242.85,179704.69
6678,370511,382250,474,29.63,September 2023,6242.85,180557.81
6679,370511,382721,508,35.61,September 2023,6242.85,214216.58
6680,370511,382870,570,23.0,September 2023,6242.85,132429.0
6681,370511,385535,437,5.0,August 2023,5947.0,28087.8
6682,370511,387001,543,5.0,August 2023,5947.0,28906.25
6683,370511,387370,547,,September 2023,6242.85,172728.5
6684,388001,361001,349,0.05,August 2023,5947.0,332.04
6685,413517,415301,302,10.0,September 2023,6242.85,58281.24
6686,421503,431717,623,28.25,September 2023,6242.85,180800.0
6687,425309,395003,328,125.8,September 2023,6242.85,517038.0
6688,442908,400070,900,34.0,September 2023,6242.85,180200.0
6689,442908,443204,427,34.0,September 2023,6242.85,605625.0
6690,442908,444801,315,32.0,September 2023,6242.85,111558.3
6691,442908,480001,315,1180.2,August 2023,5947.0,3694175.88
6692,442908,480667,337,29.33,September 2023,6242.85,139775.93
6693,442916,392001,959,35.0,September 2023,6242.85,172265.63
6694,442916,424002,688,30.0,September 2023,6242.85,166406.4
6695,442916,425002,500,1.0,September 2023,6242.85,5078.12
6696,442917,414502,555,10.0,August 2023,5947.0,128125.1
6697,445304,444506,310,11.0,September 2023,6242.85,59984.38
6698,445304,490001,374,30.0,September 2023,6242.85,133593.75
6699,454446,394115,320,41.4,September 2023,6242.85,237403.33
6700,454446,424206,309,25.0,September 2023,6242.85,136718.74
6701,454446,462046,340,35.0,September 2023,6242.85,177734.2
6702,454446,465691,340,15.0,August 2023,5947.0,88593.75
6703,458470,208001,773,874.9,August 2023,5947.0,8234208.84
6704,458470,249201,912,191.7,August 2023,5947.0,2102711.3
6705,458470,474001,632,38.74,September 2023,6242.85,196726.76
6706,458470,474003,640,39.22,September 2023,6242.85,379943.76
6707,470661,284121,307,3947.37,August 2023,5947.0,11664478.0
6708,470661,456010,435,32.0,September 2023,6242.85,860312.0
6709,473101,481001,524,33.0,September 2023,6242.85,188100.0
6710,483501,486886,317,2.0,August 2023,5947.0,65462.5
6711,483880,227409,380,659.0,September 2023,6242.85,4028515.76
6712,483880,227409,381,36.88,September 2023,6242.85,145402.61
6713,483880,227409,381,836.47,August 2023,5947.0,4713556.96
6714,483880,461111,399,23.0,September 2023,6242.85,74210.47
6715,483880,462010,400,140.0,August 2023,5947.0,1064140.0
6716,485005,226102,413,28.98,September 2023,6242.85,158484.38
6717,485005,274001,475,395.4,August 2023,5947.0,3281487.86
6718,485005,845438,680,131.8,September 2023,6242.85,561667.02
6719,485111,222202,311,29.42,August 2023,5947.0,115841.25
6720,485111,224120,375,37.36,August 2023,5947.0,191656.8
6721,485111,229301,320,33.75,August 2023,5947.0,274218.76
6722,485111,233302,319,61.9,August 2023,5947.0,363662.5
6723,485111,284403,384,15.0,September 2023,6242.85,67687.5
6724,485111,802301,450,279.6,September 2023,6242.85,1342080.0
6725,485771,229301,352,28.86,August 2023,5947.0,111110.92
6726,485771,232104,325,31.3,August 2023,5947.0,241009.2
6727,485771,232118,352,29.78,September 2023,6242.85,111675.0
6728,485771,232118,352,31.22,August 2023,5947.0,118635.92
6729,485771,233305,400,16.0,August 2023,5947.0,204998.27
6730,485771,821105,341,36.12,September 2023,6242.85,270900.0
6731,485772,224149,394,42.0,August 2023,5947.0,1669500.0
6732,485772,271601,476,329.5,August 2023,5947.0,1769882.89
6733,485772,275103,455,1383.9,September 2023,6242.85,14135915.74
6734,485773,462033,477,10.0,September 2023,6242.85,56718.74
6735,485773,462043,447,30.0,August 2023,5947.0,126562.5
6736,485773,465001,658,15.0,September 2023,6242.85,80625.0
6737,486450,209825,473,29.17,September 2023,6242.85,150407.81
6738,486450,230204,322,24.04,August 2023,5947.0,131844.5
6739,486776,475110,411,21.0,September 2023,6242.85,250687.5
6740,486776,480997,353,2.9,August 2023,5947.0,14998.45
6741,488441,209871,355,33.78,August 2023,5947.0,260739.38
6742,488441,221715,565,40.95,September 2023,6242.85,236742.19
6743,488441,241301,407,40.24,September 2023,6242.85,221948.75
6744,488441,271503,494,41.5,August 2023,5947.0,225656.25
6745,488441,466115,401,30.0,August 2023,5947.0,152343.74
6746,488441,474011,342,39.72,August 2023,5947.0,204806.24
6747,490024,700002,888,129.0,August 2023,5947.0,724805.34
6748,490024,700002,888,210.0,September 2023,6242.85,2057796.51
6749,490036,484774,450,10.0,August 2023,5947.0,623125.0
6750,490036,484774,450,32.0,August 2023,5947.0,457500.0
6751,490036,496113,361,30.0,September 2023,6242.85,602343.74
6752,492001,484001,339,22.0,September 2023,6242.85,68750.0
6753,493113,440002,333,35.0,August 2023,5947.0,300781.26
6754,493118,480661,473,18.0,August 2023,5947.0,178312.0
6755,493118,754029,529,24.77,September 2023,6242.85,61925.0
6756,493118,754029,529,30.54,August 2023,5947.0,152700.0
6757,493118,754029,529,34.37,August 2023,5947.0,343700.0
6758,493118,754029,529,34.76,September 2023,6242.85,347600.0
6759,493118,754029,529,37.96,August 2023,5947.0,94900.0
6760,493118,766027,378,35.0,August 2023,5947.0,662265.75
6761,493118,824101,544,43.18,September 2023,6242.85,107950.0
6762,493195,754027,571,37.06,September 2023,6242.85,101840.88
6763,493196,754027,546,29.68,August 2023,5947.0,93046.8
6764,493196,754027,546,40.07,September 2023,6242.85,110112.36
6765,493331,770039,368,32.34,August 2023,5947.0,74280.94
6766,493331,770039,368,33.37,September 2023,6242.85,172064.06
6767,493332,464551,751,15.0,September 2023,6242.85,151875.0
6768,493332,482001,362,34.0,September 2023,6242.85,223240.6
6769,493332,482011,377,31.0,August 2023,5947.0,155000.0
6770,493332,713148,866,4080.67,August 2023,5947.0,16889118.02
6771,493332,721139,740,489.0,September 2023,6242.85,2586159.63
6772,493332,721304,696,910.0,September 2023,6242.85,5277190.1
6773,493332,752001,617,28.13,August 2023,5947.0,160428.91
6774,493332,754025,524,27.82,August 2023,5947.0,152140.62
6775,493332,755026,574,39.8,September 2023,6242.85,141721.83
6776,493332,758034,517,30.33,September 2023,6242.85,388603.12
6777,493332,770031,355,30.0,September 2023,6242.85,768750.0
6778,493332,800009,698,30.0,August 2023,5947.0,539062.5
6779,493332,829206,541,30.0,September 2023,6242.85,185156.25
6780,493332,831016,645,3955.93,September 2023,6242.85,13699386.03
6781,493332,831016,645,4062.95,September 2023,6242.85,14069996.16
6782,493332,834005,511,33.32,September 2023,6242.85,205646.87
6783,495113,752060,545,5.0,August 2023,5947.0,34550.0
6784,496001,273001,756,15.0,August 2023,5947.0,46875.0
6785,496001,751006,450,35.0,September 2023,6242.85,1714440.0
6786,496001,831006,485,1470.0,August 2023,5947.0,5397722.4
6787,500092,523225,337,37.07,August 2023,5947.0,130324.4
6788,501158,402304,632,34.82,September 2023,6242.85,124046.25
6789,501158,410206,650,34.2,September 2023,6242.85,432843.75
6790,501158,410218,650,39.4,August 2023,5947.0,166218.75
6791,501158,412201,490,31.08,September 2023,6242.85,131118.75
6792,501158,412201,490,50.68,August 2023,5947.0,213806.25
6793,501158,412201,490,51.24,September 2023,6242.85,216168.75
6794,501158,415525,452,34.56,September 2023,6242.85,256392.0
6795,501158,415525,452,34.64,September 2023,6242.85,126300.69
6796,501158,431001,485,25.0,September 2023,6242.85,1579296.8
6797,504218,425309,606,4008.06,August 2023,5947.0,10821762.0
