,start_pin,destination_pin,travel_distance,Quantity (In TON),period,nifty_infra_price,amount,distance_per_ton,route_frequency,avg_route_price,period_dt,year,month,month_sin,month_cos
128,356,1529,565,33.0,October 2023,6095.4,202641.0,17.12121212121212,3,139394.33333333334,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
129,356,1567,499,7.5,October 2023,6095.4,45469.0,66.53333333333333,1,45469.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
130,356,1604,340,200.0,October 2023,6095.4,52200.0,1.7,1,52200.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
131,356,1660,500,27.0,October 2023,6095.4,178031.0,18.51851851851852,4,156234.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
132,356,1849,420,6.0,October 2023,6095.4,156563.0,70.0,7,232330.57428571428,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
133,356,1850,301,14.0,October 2023,6095.4,355908.0,21.5,8,518468.89,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
134,356,2053,385,25.43,November 2023,6585.6,139070.0,15.139598898938262,10,294151.387,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
135,356,2053,385,29.8,October 2023,6095.4,162969.0,12.919463087248323,10,294151.387,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
136,356,2053,385,30.48,October 2023,6095.4,166688.0,12.631233595800525,10,294151.387,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
137,356,2087,416,44.68,November 2023,6585.6,261797.0,9.310653536257833,12,248728.21083333332,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
138,356,2126,397,44.42,November 2023,6585.6,485844.0,8.937415578568212,17,327713.5182352941,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
139,356,2290,417,41.67,October 2023,6095.4,237649.0,10.007199424046076,11,236069.37454545454,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
140,356,2402,655,40.92,October 2023,6095.4,246159.0,16.006842619745846,16,366678.658125,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
141,358,123,708,45.0,October 2023,6095.4,322031.24,15.733333333333333,2,235261.715,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
142,358,1380,328,44.74,November 2023,6585.6,230690.62,7.331247206079571,7,338532.6171428571,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
143,358,1383,341,44.24,October 2023,6095.4,235025.0,7.707956600361664,5,216550.624,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
144,358,1654,594,10.0,November 2023,6585.6,65937.5,59.4,7,231783.47999999998,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
145,358,1654,594,32.0,November 2023,6585.6,216000.0,18.5625,7,231783.47999999998,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
146,358,1764,774,45.0,November 2023,6585.6,232031.24,17.2,1,232031.24,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
147,358,2015,655,39.1,November 2023,6585.6,216882.81,16.751918158567776,1,216882.81,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
148,359,44,608,41.5,October 2023,6095.4,233437.5,14.650602409638553,1,233437.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
149,359,121,732,35.0,October 2023,6095.4,238437.5,20.914285714285715,3,200119.79333333333,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
150,359,128,690,43.0,October 2023,6095.4,459562.5,16.046511627906977,3,434671.86999999994,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
151,359,141,567,42.14,November 2023,6585.6,148838.23,13.455149501661129,25,271308.46760000003,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
152,359,144,650,41.0,October 2023,6095.4,1043578.12,15.853658536585366,3,1507755.2033333334,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
153,359,183,829,41.7,November 2023,6585.6,233259.37,19.88009592326139,3,231319.79,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
154,359,217,856,42.8,November 2023,6585.6,150468.75,20.0,1,150468.75,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
155,359,220,831,3951.4,November 2023,6585.6,21535099.13,0.2103052082806094,2,10909932.375,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
156,359,565,694,29.5,November 2023,6585.6,215257.81,23.52542372881356,2,217082.035,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
157,359,1265,660,17.0,October 2023,6095.4,117937.5,38.8235294117647,1,117937.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
158,359,2220,420,42.0,November 2023,6585.6,2432062.5,10.0,2,3212973.71,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
159,359,2350,477,42.0,October 2023,6095.4,622440.0,11.357142857142858,3,270218.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
160,359,2379,619,39.27,October 2023,6095.4,220280.56,15.762668703845174,7,276696.88857142854,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
161,359,2414,638,44.34,October 2023,6095.4,252876.56,14.388813712223724,3,245144.79,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
162,359,3340,474,41.5,November 2023,6585.6,248351.56,11.421686746987952,1,248351.56,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
163,360,437,1168,257.6,October 2023,6095.4,2898000.0,4.534161490683229,4,823026.385,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
164,360,518,669,2066.91,October 2023,6095.4,433617048.9,0.3236715677025125,12,277196102.7158333,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
165,360,527,684,1318.0,November 2023,6585.6,60951226.32,0.5189681335356601,4,20655860.61,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
166,360,1571,368,40.81,October 2023,6095.4,216803.13,9.017397696642979,3,550422.02,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
