start_pin,destination_pin,bharat_sir_eway_data_oct23_nov23_020424.origin_from_state,bharat_sir_eway_data_oct23_nov23_020424.destination_from_state,bharat_sir_eway_data_oct23_nov23_020424.rtn_period,travel_distance,bharat_sir_eway_data_oct23_nov23_020424.transport_mode,bharat_sir_eway_data_oct23_nov23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_oct23_nov23_020424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_oct23_nov23_020424.total_tax,bharat_sir_eway_data_oct23_nov23_020424.ewbs_count,bharat_sir_eway_data_oct23_nov23_020424.supplier_gstin_cnt,Cost pre Km per TON
341026,110077,8,7,202311,510,1,@2523,41.42,TON,41.42,236223.44,66142.56,1,1,11.18259816
341026,131301,8,6,202310,565,1,@2523,41.84,TON,41.84,451087.5,126304.5,2,1,19.08185841
341026,301705,8,8,202311,414,1,@2523,860,BAG,43,937937.5,262622.52,4,1,52.68719807
341026,303326,8,8,202310,351,1,@2523,33.9,TON,33.9,153609.38,43010.62,1,1,12.90954458
341026,321001,8,8,202311,452,1,@2523,13,TON,13,82875,23205,1,1,14.1039823
341026,335523,8,8,202310,334,1,@2523,15,TON,15,198515.62,55584.38,2,1,39.62387625
342606,110020,8,7,202311,573,1,@2523,5,MTS,5,144168.9,40367.3,2,1,50.32073298
342606,201001,8,9,202310,598,2,@2523,27.7,MTS,27.7,2777502.54,777700.77,7,1,167.6770064
342606,201308,8,9,202310,613,2,@2523,27.3,MTS,27.3,345829.94,96832.39,1,1,20.6651931
342606,263153,8,5,202311,856,1,@2523,2,MTS,2,31410,8794.8,1,1,18.34696262
342606,276001,8,9,202311,1172,2,@2523,12,MTS,12,336765.6,94294.38,2,1,23.94522184
342606,384001,8,24,202310,428,1,@2523,5.95,MTS,5.95,81419.68,22797.52,1,1,31.9719155
342606,415001,8,27,202310,1276,1,@2523,10,MTS,10,131147.89,36721.41,1,1,10.27804781
342606,452010,8,23,202310,638,1,@2523,17.5,MTS,17.5,241692.15,67673.81,1,1,21.64730408
342606,821305,8,10,202310,1301,1,@2523,5,MTS,5,70812,115004.39,1,1,10.88578017
342902,141001,8,3,202311,812,2,@2523,27.5,TON,27.5,1435500,401940,6,1,64.28571429
342902,390022,8,24,202310,632,1,@2523,10,TON,10,66000,35000,1,1,10.44303797
342902,515001,8,37,202310,1916,1,@2523,2,TON,2,21000,38388,1,1,5.480167015
343041,334001,8,8,202310,567,1,@2523,880,BAG,44,305254.4,85471.24,1,1,12.2356261
360021,393002,24,24,202310,396,1,@2523,500,BAG,25,73828.1,20671.86,1,1,7.457383838
360311,383001,24,24,202310,342,1,@2523,12,MTS,12,65625,18375,1,1,15.99049708
360311,385001,24,24,202310,399,1,@2523,6,MTS,6,32812.5,9187.5,1,1,13.70614035
360311,387325,24,24,202311,304,1,@2523,5,MTS,5,62734.36,17565.64,2,1,41.27260526
360311,390019,24,24,202310,326,1,@2523,25,MTS,25,1518070.26,425059.74,11,1,186.2662896
360560,382210,24,24,202310,381,1,@2523,25.09,MTS,25.09,87815.48,0,1,1,9.186401919
360560,383460,24,24,202311,558,1,@2523,25,MTS,25,144531.24,40468.76,1,1,10.36066237
360560,390022,24,24,202310,452,1,@2523,25,MTS,25,141406.24,39593.76,1,1,12.51382655
361345,362530,24,24,202311,316,1,@2523,5,TON,5,28125,7875,1,1,17.80063291
361345,363001,24,24,202311,360,1,@2523,5.8,TON,5.8,27045.4,0,1,1,12.95277778
361345,363330,24,24,202311,339,1,@2523,25.8,TON,25.8,143109.5,40070.66,1,1,16.36247742
361345,385566,24,24,202311,526,1,@2523,26,TON,26,435094.14,121826.34,3,1,31.81442966
362275,387320,24,24,202310,464,1,@2523,35,MTS,35,490001,0,4,1,30.17247537
362275,389330,24,24,202311,532,1,@2523,29.18,MTS,29.18,169608.54,47490.46,1,1,10.92573835
362715,380006,24,24,202310,442,1,@2523,0.19,TON,0.19,2243.12,628.08,2,1,26.71016909
362715,382421,24,24,202310,461,1,@2523,30.02,TON,30.02,178243.74,49908.26,1,1,12.87960882
362715,382715,24,24,202311,489,1,@2523,34.52,TON,34.52,202265.62,56634.38,1,1,11.98236167
365540,395007,24,24,202310,538,4,@2523,1991,MTS,1991,5824511.22,0,1,1,5.437583643
365560,380008,24,24,202310,317,1,@2523,34.86,MTS,34.86,206981.25,57954.76,1,1,18.73028391
365560,382345,24,24,202310,321,1,@2523,24.46,MTS,24.46,149053.13,41734.88,1,1,18.9836455
365560,391243,24,24,202311,371,1,@2523,29.51,MTS,29.51,169221.55,47382.04,1,1,15.45654952
